Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
A00060407,Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused,1,0.416612152013741,NaN,-0.200299294041714,NaN,-0.628144252772329,NaN,0.203595705517557,NaN,-0.914279358912413,NaN,0.684903414128553,NaN,NaN,-0.229038173250577,NaN,-0.909154241053569,NaN,-0.898101672954277,NaN,-0.66273917271794,NaN,0.600501663200108,NaN,-0.714448437815541
A00060430,Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering,2,-0.927220315704329,NaN,0.97221594571582,NaN,-0.467680487718163,NaN,0.956445083418831,NaN,0.989069917770956,NaN,0.46644139584121,NaN,NaN,-0.678371889688501,NaN,0.878418195849889,NaN,0.995960911151471,NaN,0.964570126862156,NaN,0.979881692432944,NaN,0.311173575684596
A00060471,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,-0.761191221901941,NaN,0.765222603525738,NaN,-0.792198081699765,NaN,0.471037565678748,NaN,-0.0263886875113641,NaN,-0.979204083052545,0.942408684277432,NaN,0.781344033355443,NaN,0.251990432765165,NaN,0.877636834505326,NaN,0.821428169178793,NaN,-0.492424564243433,NaN
A00060480,Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused,1,0.683003932764122,NaN,0.218794529034067,NaN,0.434197382320689,NaN,0.573286292905433,NaN,0.995979573100058,NaN,0.858795742554852,NaN,NaN,0.241091318057857,NaN,-0.287430986758393,NaN,0.00601681136535501,NaN,0.437077082377126,NaN,-0.920234775407703,NaN,0.939580110539517
A00060516,Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused,3,NaN,0.745248425740462,NaN,0.446158911211238,NaN,0.295955333457552,NaN,0.655359731853613,NaN,0.258697140512995,NaN,0.665604255175334,-0.951265924341547,NaN,0.966171699123038,NaN,0.704203340641205,NaN,-0.786887841781427,NaN,0.983402946436173,NaN,-0.907429155244058,NaN
A00060582,Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused,1,0.428235949108152,NaN,0.635399324718988,NaN,0.848165499717561,NaN,-0.893962004999174,NaN,0.733160166994467,NaN,0.606858015482013,NaN,NaN,-0.968590412474526,NaN,-0.980259572814153,NaN,0.893055183161904,NaN,-0.925754417648028,NaN,-0.560545899919131,NaN,0.979202319164361
A00060632,Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering,4,NaN,-0.883589548776271,NaN,0.897645784595704,NaN,0.909447332410829,NaN,0.616928286462058,NaN,-0.980388620264625,NaN,-0.747154191082776,-0.739422911029343,NaN,0.807976467039963,NaN,-0.84554632497128,NaN,0.929965380150417,NaN,0.862314713724302,NaN,-0.825283048677236,NaN
A00060662,Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering,2,0.928298751230917,NaN,0.682411262703628,NaN,0.803875961219816,NaN,0.187707260283981,NaN,0.440622403464634,NaN,0.658221416561671,NaN,NaN,0.911409346744455,NaN,0.295791910014998,NaN,0.848814856470317,NaN,0.20341831871056,NaN,0.953276453535777,NaN,0.862663006441541
A00060773,Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering Wander Wandering-Focused Focus Wandering-Focused Wander Wandering-Focused Focus Focused-Wandering Wander Focused-Wandering Focus Focused-Wandering,2,0.968721933985017,NaN,-0.941536168216723,NaN,0.907999362290404,NaN,0.915505439161776,NaN,0.881969336307023,NaN,0.908283906324385,NaN,NaN,-0.961477156001575,NaN,0.722192309893338,NaN,0.966323313848146,NaN,-0.43353976889551,NaN,0.88434944174659,NaN,-0.932867471103831
A00060848,Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering Focus Wandering-Focused Wander Wandering-Focused Focus Wandering-Focused Wander Focused-Wandering Focus Focused-Wandering Wander Focused-Wandering,4,NaN,0.582341607869331,NaN,0.917649295902479,NaN,0.947518885661812,NaN,-0.331519675217189,NaN,0.708220138178455,NaN,0.872178235741251,0.95862187049249,NaN,0.633269513491611,NaN,-0.313309129170801,NaN,-0.556607962942466,NaN,0.932798170659887,NaN,-0.760931848141507,NaN
